"rt","chain","gloss","trialnum","response","clozeIndex","document","original","condition","age","comments","education","ethnicity","gender","language","languageFree","studyQuestionGuess","workerid"
17492,"84","Server start.",1,"The waiter came to the table. ",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
20853,"21","Waitress come.",2,"How often do people find bugs in their food?",0,"243","After perusing our menus, the waitress came over to take our order.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
17864,"11","We be.",3,"The boy threw his fork across the dining room. ",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
18090,"168","Husband decide.",4,"I forgot my wallet at home, and could not pay for my food. ",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
21060,"68","He put on table.",5,"The couple refused to pay for their meals, and made quite the scene. ",3,"196","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
9450,"40","I have.",6,"I found a bug in my food, and wanted a free meal. ",1,"086","I always had to speak up and try to get her attention for a refill.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
9056,"78","We not allow.",7,"The food at this place is delicious. ",0,"022","As I said, we did not allow it to tarnish our evening.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
6570,"47","He mention.",8,"I needed a refill. ",1,"025","At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
10744,"62","I stick.",9,"The salad bar was completely empty. ",0,"151","At this point I'm just sticking around to watch the show.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
10833,"22","It thing.",10,"The waiter came to the table at last. ",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
8279,"86","I order.",11,"We waited forever to be seated. ",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
14749,"110","I wonder.",12,"My wife refused to cook me anymore meals, stating that she was too busy. ",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
18933,"41","We seat.",13,"My steak was slightly undercooked, which I told her when she came back to check in on us. ",2,"120","We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
11576,"18","I tip.",14,"The food was overcooked and not good. ",2,"271","I usually tip well, but I gave the waiter 12%, which actually was too much.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
8291,"76","She decide.",15,"The dishes crashed to the floor. ",1,"033","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
12780,"88","He tell.",16,"The desert at the other table looked appetizing. ",5,"023","He told them they were no longer welcome.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
11484,"29","It pour with rain.",17,"It happened on a weekend. ",1,"171","It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","caveman","26","No thank you. ","4","white","male","eng",NA,"To see if people could fill in the blanks, and literally read between the lines.",1
48217,"84","Seconds come.",1,"All I can see is blurred words and 'server start' written over them?",0,"063","A few seconds later the server came to check on us and asked how our food was.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
16655,"110","I refuse.",2,"My wife finally retired now she washes lots of dishes.",2,"050","I refused but also declined to tip the culprit.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
21916,"58","It freezing.",3,"When the waiter brought our food he pointed something out to me.",0,"171","It's freezing this time of year so I didn't want to sit near the door.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
12784,"11","We be.",4,"We gave our son a gift for behaving.",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
6429,"48","Judge try.",5,"I am now the manager at work/",1,"022","In reality this ""judge'' was trying to hide his martini on the floor.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
8247,"18","Waiter say.",6,"We went to the restaurant.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
11678,"68","He throw.",7,"I did not give in/",5,"196","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
7892,"62","I stick.",8,"I needed to sneeze.",0,"151","At this point I'm just sticking around to watch the show.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
11564,"10","It freezing.",9,"So it will be.",1,"025","It's freezing this time of year so I didn't want to sit near the door.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
15393,"20","Couple run.",10,"My friend came over.",1,"177","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
10118,"41","We seat.",11,"We finish eating.",2,"120","We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
5623,"76","She break.",12,"I asked what she wanted.",0,"033","Of course, she breaks the teabag inside.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
12362,"41","We people.",13,"We ask for a table. ",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
6320,"40","Waitress offer.",14,"I wanted to get ice cream.",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
7827,"86","I order.",15,"We sit down.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
12122,"88","I interrupt.",16,"I decide what to do.",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
4896,"22","It thing.",17,"I eat and it is good.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","event_only","30","sorry i accidentally hit / instead of period a couple of times","2","white","male","eng",NA,"it was fine",2
42714,"10","It be.",1,"The air conditioning was too strong.",0,"025","It was off to a bad start as soon as I walked in the door.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
30413,"68","He throw.",2,"The people left without paying.",5,"196","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
23907,"11","Son behave.",3,"It wasn't the restaurant's fault, though.",4,"191","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
21172,"40","I have.",4,"We decided to order the special.",1,"086","I always had to speak up and try to get her attention for a refill.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
27589,"18","I tip.",5,"The staff were very rude.",2,"271","I usually tip well, but I gave the waiter 12%, which actually was too much.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
25034,"29","It pour with rain.",6,"We still had a good time, though.",1,"171","It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
38674,"168","Husband decide.",7,"The waiter spilled my drink on me.",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
19991,"22","I order.",8,"Our meal was great.",0,"153","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
34175,"21","Waitress come.",9,"We didn't know what some of the dishes were.",0,"243","After perusing our menus, the waitress came over to take our order.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
15634,"86","I order.",10,"It took a long time for us to be seated.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
25188,"78","You think.",11,"It was very frustrating.",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
17281,"41","Food good.",12,"We arrived early.",0,"120","The food was good, the service was good, we had a fun time.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
12639,"84","Server start.",13,"The service was very fast.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
18257,"62","I stick.",14,"Something didn't look right on the plate.",0,"151","At this point I'm just sticking around to watch the show.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
18720,"110","I refuse.",15,"It seemed like the food had been reheated.",2,"050","I refused but also declined to tip the culprit.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
24026,"76","She break.",16,"There were a lot of options to choose from.",0,"033","Of course, she breaks the teabag inside.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
15221,"88","I interrupt.",17,"He explained it to me, though.",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","caveman","44","no","7","white, non-hispanic","male","eng",NA,"I think you're trying to see if the amount of information affects what people come up with.",3
100898,"68","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",1,"When the man didn't believe him, the manager stormed into the kitchen and produced a book from the fridge.",3,"196","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
82895,"168","I was so embarrassed by the spectacle she made us into that I just wanted to leave.",2,"She accused us of being cheap so loudly everyone in the restaurant stared at her, and then us.",2,"177","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
313353,"88","He told them they were no longer welcome.",3,"The customer asked why I couldn't take more money off the bill.",5,"023","He told them they were no longer welcome.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
37961,"29","It happened on a bank holiday and I was not at work that day.",4,"It was a Friday, so the restaurant was full.",0,"171","It happened on a bank holiday and I was not at work that day.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
36857,"41","We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.",5,"We don't like to cause a fuss.",2,"120","We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
18007,"10","It's freezing this time of year so I didn't want to sit near the door.",6,"The restaurant was busy and we had to wait to be seated.",1,"025","It's freezing this time of year so I didn't want to sit near the door.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
11230,"40","I always had to speak up and try to get her attention for a refill.",7,"I thought she was very rude.",1,"086","I always had to speak up and try to get her attention for a refill.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
7144,"22","It was a good thing that they didn't prepare my meal before giving me the price!",8,"I was so embarrassed.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
23149,"76","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",9,"Loose tea leaves poured out everywhere.",1,"033","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
15615,"84","A few seconds later the server came to check on us and asked how our food was.",10,"My wife complained that her steak was overdone.",0,"063","A few seconds later the server came to check on us and asked how our food was.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
20390,"110","I wonder, however, what we could have done differently to avoid his attitude.",11,"He wasn't getting a penny more from me.",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
20408,"18","I usually tip well, but I gave the waiter 12%, which actually was too much.",12,"He wanted us to leave but we weren't going anywhere.",2,"271","I usually tip well, but I gave the waiter 12%, which actually was too much.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
17567,"48","In reality this ""judge'' was trying to hide his martini on the floor.",13,"I strongly suspected the customer was a drunk.",1,"022","In reality this ""judge'' was trying to hide his martini on the floor.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
