chainID,event_only,caveman,docIndex,ncloze,original
48,I manager.,I manager.,022,2,"I'm a manager and tried to unobtrusively and politely pull the drink without causing a scene, all while explaining that it was a violation of our liquor license and I couldn't allow this guest to keep the martini he had dumped into his wine glass."
48,Judge try.,Judge try in reality.,022,2,"In reality this ""judge'' was trying to hide his martini on the floor."
72,I think.,I think.,022,1,But I thought you would like to know that the manager was extremely rude to us.
78,We allow.,We not allow.,022,2,"As I said, we did not allow it to tarnish our evening."
78,You think.,You think.,022,2,"If anyone should know better, you'd think it was him, except for his sense of entitlement."
88,I misunderstand.,I misunderstand.,023,7,I misunderstood my manager and thought that we didn't accept them at all on that night.
88,I interrupt.,I interrupt.,023,7,"I interrupted her stating, ""I will go get my manager,'' and walked away."
88,I go.,I go.,023,7,I went and got my manager and explained to him what happened.
88,He take.,He take.,023,7,He took everything off their bills except drinks and appetizer.
88,He tell.,He tell.,023,7,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in."
88,He tell.,He tell.,023,7,He told them they were no longer welcome.
88,I do.,I do.,023,7,"I do my best to do my job to make you happy, but I will not go against the rules my manager has so you can save a buck or two."
112,I do.,I do.,023,1,"I do my best to do my job to make you happy, but I will not go against the rules my manager has so you can save a buck or two."
10,It be.,It be.,025,2,It was off to a bad start as soon as I walked in the door.
10,It freezing.,It freezing.,025,2,It's freezing this time of year so I didn't want to sit near the door.
58,It freezing.,It freezing.,025,6,It's freezing this time of year so I didn't want to sit near the door.
58,I wait.,I wait.,025,6,I was waiting about ten minutes in a pretty empty restaurant and noticed that no one had sat in the booth.
58,Waiter come.,Waiter come.,025,6,The waiter finally came and took my order and still no one sat in the booth.
58,Food come.,Food come.,025,6,My food came and that's when it really got weird.
58,Waiter come.,Waiter come in middle.,025,6,"In the middle of eating from my clay hot pot, the waiter came over to check how everything was."
58,He mention.,He mention.,025,6,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.
47,Waiter come.,Waiter come.,025,2,The waiter finally came and took my order and still no one sat in the booth.
47,He mention.,He mention.,025,2,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.
76,She break.,She break.,033,2,"Of course, she breaks the teabag inside."
76,She decide.,She decide.,033,2,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''"
62,I stick.,I stick.,033,1,At this point I'm just sticking around to watch the show.
93,Restaurant attach.,Restaurant attach to b&b.,033,1,"I had a day off and went to breakfast at one of my favorite local places, a restaurant attached to a B&B that only served breakfast and dinner."
116,We go.,We go to restaurant on night.,050,1,However... Recently we went to a familiar restaurant on a slow night.
110,Wife retire.,Wife retire.,050,4,My wife and I are retired.
110,Dish hot.,Dish not hot.,050,4,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.
110,I refuse.,I refuse.,050,4,I refused but also declined to tip the culprit.
110,I wonder.,I wonder.,050,4,"I wonder, however, what we could have done differently to avoid his attitude."
11,I ask.,I ask.,063,1,"When dining out, if I want a burger I will always ask the server if the place does rare and if not I will order something else."
23,They do.,They do.,063,1,thing and was assured they do.
88,I want.,I want.,063,1,"It was a long day and I was tired, so I mentioned to my wife that I really didn't care if the burger was overcooked, I just wanted to eat and hit the road."
84,Seconds come.,Seconds come.,063,2,A few seconds later the server came to check on us and asked how our food was.
84,Server start.,Server start.,063,2,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap."
26,I dine.,I dine with mother.,086,1,About two years ago I was dining at an Asian restaurant in San Antonio with my mother and younger brother.
27,I dine.,I dine with mother.,086,1,About two years ago I was dining at an Asian restaurant in San Antonio with my mother and younger brother.
40,Waitress offer.,Waitress offer.,086,2,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one."
40,I have.,I have.,086,2,I always had to speak up and try to get her attention for a refill.
140,Mum converse.,Mum converse with waiter.,120,2,My mum was jovially conversing with the waiter when he brought the check; he seemed to be enjoying himself.
140,I remain.,I remain in seat.,120,2,"Still trying to keep my cool, I remained in my seat and leaned over."
39,I odd.,I odd.,120,1,"Perhaps I'm a little odd, but I have a rather large territorial bubble that I DO NOT like people violating."
41,Food good.,Food good.,120,3,"The food was good, the service was good, we had a fun time."
41,We people.,We people.,120,3,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet."
41,We seat.,We seat.,120,3,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --."
125,Mum converse.,Mum converse with waiter.,120,4,My mum was jovially conversing with the waiter when he brought the check; he seemed to be enjoying himself.
125,He stand.,He stand to i.,120,4,"He was standing next to me, but I did my best to concentrate on my soda and be polite."
125,Keep.,Keep.,120,4,"Dear God, he kept moving closer!"
125,He bid.,He bid on accord.,120,4,On his own accord he bid us a good day and left before I toppled out of my chair or had a psychotic episode.
